id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
277,1913944.6,4221355.5,4342189,Avenue Edmond Esmonin,secondary,1,,,51,10.4306445908139
278,1914482,4221761.5,299529792,Avenue Marie Reynoard,secondary,1,,,51,5.10672929184072
279,1912522.6,4222058,330138753,,footway,,,,,94.5784497416547
280,1916009.1,4223560,4377344,Avenue du Grand Châtelet,residential,,,,31,18.1155739427405
281,1914322.8,4222191,4221382,Allée de la Sylphide,residential,,,,31,4.72663296684544
282,1915191.5,4222681.5,50258538,Rue Ninon Vallin,residential,,,,31,10.787109446161
283,1914217.2,4222257.5,4221478,Allée des Romantiques,residential,1,,,31,10.6508165539929
284,1913883.8,4223275.5,232576911,,footway,,,,,7.71110599872055
285,1913972,4223262,4014387,Rue Léo Lagrange,tertiary,,,,31,9.68056379114893
286,1912939.1,4223050.5,172637637,,footway,,,,,5.56907249479562
287,1913244,4222499,227683862,Cours de la Libération et du Général de Gaulle,residential,1,,,31,0.93022887199939
288,1913761.8,4223291,232576907,,footway,,,,,15.9195684648048
289,1914673.9,4224200.5,196543675,Place Paul Mistral,service,1,,,,3.21177987773646
290,1912842.2,4221902.5,330138756,,footway,,,,,9.89195182421573
291,1914464.9,4222226.5,299529815,,footway,,,,,0.852818166210525
292,1913967.9,4221356.5,292166868,Avenue Edmond Esmonin,secondary,1,,,51,9.77715553823572
293,1914986.8,4225164,76705541,,footway,,,,,13.9862991440704
294,1914814.1,4222239.5,53563361,,footway,,,,,5.73287856686447
295,1912799.1,4221901,330138752,,footway,,,,,5.64889258675152
296,1914998.8,4222793,50259222,,service,,,,,7.63453349958843
297,1912239.6,4226217.5,221368074,Avenue des Martyrs,secondary,1,,,51,0.318846073111521
298,1915560.6,4222542,9752524,Rue Gaston Letonnelier,unclassified,,,,31,12.0108553115873
299,1914156.6,4224967,98720353,,footway,,,,,17.140560149532
300,1914710.4,4222324,44806713,,residential,1,,,31,3.52329743406646
301,1915109.4,4222793,50258553,,footway,,,,,4.09283189416684
302,1913116.1,4222005,227683858,Cours de la Libération et du Général de Gaulle,primary,1,,,51,5.45719413521492
303,1912788.1,4221781,330138756,,footway,,,,,18.1237989183656
304,1912646.5,4223288.5,5990158,Rue Joseph Bouchayer,unclassified,,,,31,26.0091686462351
305,1915132.1,4222808.5,50258547,,footway,,,,,5.89917491614764
306,1914117.9,4222840,189242024,Eugène Sue,platform,,,,,5.08539274848034
307,1912956.4,4224848,291434970,Palais de Justice,platform,,,,,15.9776692889525
308,1914886.4,4222460.5,50250337,,footway,,,,,4.75181452371714
309,1913943.4,4223294.5,4014387,Rue Léo Lagrange,tertiary,,,,31,12.0165557548287
310,1912986.1,4224790,16274316,Rue du Vercors,unclassified,1,,,31,12.1227295039675
