id,coord_x,coord_y,join_osm_id,join_name,join_type,join_population,distance
10493,1914265.2,4221596,1822915465,Arlequin,neighbourhood,,637.340839124219
10494,1913271.4,4222809.5,3768518877,Mistral - Bachelard,suburb,,861.947603272043
10495,1914234.6,4224911,919367053,Notre-Dame,neighbourhood,,353.096386813282
10496,1915311.2,4224656,3883913692,Mutualité,neighbourhood,,316.434181429421
10497,1914427.2,4221368,1822915466,Constantine,neighbourhood,,497.13538405532
10498,1913170.5,4225632,2683438658,Le Clos des Fleurs,neighbourhood,,42.0868586173102
10499,1913422.4,4224462,2126097950,L'Estacade,neighbourhood,,259.492250143583
10500,1914598.5,4224322.5,3883913693,Préfecture,neighbourhood,,269.529635328087
10501,1915229.5,4222907.5,1822915468,La Bruyère,neighbourhood,,779.267136530232
10502,1915568.9,4223213.5,3837354216,Châtelet,Voisinage,,534.149318979973
10503,1914469.4,4221946.5,1822915465,Arlequin,neighbourhood,,382.918080197312
10504,1913609,4221756.5,2140400356,Rondeau,neighbourhood,,542.920660671969
10505,1914347.4,4222555.5,3840890815,Clos d'Or,neighbourhood,,185.132076859137
10506,1912994.1,4221402,2140400356,Rondeau,neighbourhood,,486.815761260445
10507,1914083.1,4224013,443945403,Championnet,neighbourhood,,256.435315229668
10508,1912526.9,4222294,3768518877,Mistral - Bachelard,suburb,,250.471837769383
10509,1915573.6,4222960,3837354216,Châtelet,Voisinage,,695.230118260662
10510,1913111,4222015,2140400356,Rondeau,neighbourhood,,137.339172322309
10511,1915031.8,4224463.5,3883913693,Préfecture,neighbourhood,,310.64164177073
10512,1914854,4222618,1822915468,La Bruyère,neighbourhood,,395.284144092397
10513,1914411.9,4221405,1822915466,Constantine,neighbourhood,,504.422721442615
10514,1915215.2,4221657.5,1051603116,Les Géants,neighbourhood,,60.3290098678829
10515,1915540.2,4223272,3837354216,Châtelet,Voisinage,,532.988608269771
10516,1913735.8,4222448.5,3840890815,Clos d'Or,neighbourhood,,457.128588892863
10517,1914869.1,4221794,1822915465,Arlequin,neighbourhood,,74.7588520025863
10518,1913827.9,4222527,3840890815,Clos d'Or,neighbourhood,,372.328045242387
10519,1915677.9,4225253,3845606659,Les Sablons,locality,,224.376992098968
10520,1915535.1,4224644.5,550137565,Pont Carpin,quarter,,392.151525711559
10521,1912622.5,4221732,3768518877,Mistral - Bachelard,suburb,,422.903320284304
10522,1915557.2,4223015.5,3837354216,Châtelet,Voisinage,,665.767665644513
10523,1913694.4,4224633,2126097950,L'Estacade,neighbourhood,,481.01099217699
10524,1914934.2,4222399,1822915468,La Bruyère,neighbourhood,,192.214249191808
10525,1913811.2,4223650.5,26686589,Grenoble,city,155637,217.722556412151
10526,1915035.4,4224831.5,3883913692,Mutualité,neighbourhood,,43.2251948052107
10527,1914746.2,4222479,1822915468,La Bruyère,neighbourhood,,279.41251916888
10528,1914112.9,4223754.5,26686589,Grenoble,city,155637,324.628165426288
10529,1913295.4,4222786.5,3768518877,Mistral - Bachelard,suburb,,859.961797691138
10530,1914987.9,4225162,3883913692,Mutualité,neighbourhood,,374.086363551052
10531,1912598.1,4222005,3768518877,Mistral - Bachelard,suburb,,187.45874919258
10532,1913689.9,4221448,663102355,Surieux,locality,,614.405657650359
10533,1914901.8,4224498,3883913693,Préfecture,neighbourhood,,176.32584549813
10534,1913572.2,4221514.5,2140400356,Rondeau,neighbourhood,,613.255933618744
10535,1913293.6,4222739,3768518877,Mistral - Bachelard,suburb,,823.723442828231
10536,1915253.9,4222190,1822915467,Helbronner,neighbourhood,,152.028957959136
10537,1913765.9,4224632.5,443945403,Championnet,neighbourhood,,454.956261683479
10538,1915525.9,4222477,1822915467,Helbronner,neighbourhood,,469.097163096487
10539,1912523.1,4222506.5,3768518877,Mistral - Bachelard,suburb,,417.136556840272
10540,1913284.2,4224223,2126097950,L'Estacade,neighbourhood,,187.358398012061
10541,1913076,4221982.5,2140400356,Rondeau,neighbourhood,,101.5270778742
10542,1912806.8,4224205.5,1841690043,Bouchayer-Viallet,neighbourhood,,349.159025656328
10543,1913320.2,4222336.5,2140400356,Rondeau,neighbourhood,,514.62260053627
10544,1914449.9,4222077.5,1822915468,La Bruyère,neighbourhood,,432.744241385932
10545,1912926.1,4224797,1841690043,Bouchayer-Viallet,neighbourhood,,592.162097684585
10546,1914204.5,4223066,3840890815,Clos d'Or,neighbourhood,,612.609911722875
10547,1913740,4223491,26686589,Grenoble,city,155637,383.439564381865
10548,1912628.9,4223185,3391272616,Les Îles-Sud,neighbourhood,,576.52061389167
10549,1913272.4,4222638,3768518877,Mistral - Bachelard,suburb,,737.915338177302
10550,1913460,4225612,2683438658,Le Clos des Fleurs,neighbourhood,,316.203103942778
10551,1914063.2,4222894.5,3840890815,Clos d'Or,neighbourhood,,459.677605793775
10552,1915037.1,4222601.5,1822915468,La Bruyère,neighbourhood,,419.171795277076
10553,1914642.9,4223596,26686589,Grenoble,city,155637,877.35803731886
10554,1914206.1,4224748.5,919367053,Notre-Dame,neighbourhood,,455.985322425116
10555,1913652.5,4223208,26686589,Grenoble,city,155637,678.467804923051
10556,1914946.8,4225518.5,919367053,Notre-Dame,neighbourhood,,621.777252678899
10557,1912641.2,4223119.5,3391272616,Les Îles-Sud,neighbourhood,,568.079406479284
10558,1916208.4,4223272,3837354216,Châtelet,Voisinage,,279.482028541807
10559,1916187.4,4223259.5,3837354216,Châtelet,Voisinage,,276.575005543251
10560,1912698.4,4222773,3768518877,Mistral - Bachelard,suburb,,631.563398142054
10561,1914217.2,4222124,3840890815,Clos d'Or,neighbourhood,,330.394632896596
10562,1914257.4,4222499.5,3840890815,Clos d'Or,neighbourhood,,79.2218320654068
10563,1913122.4,4222360,3768518877,Mistral - Bachelard,suburb,,452.362905650677
10564,1915422.5,4224661.5,3883913692,Mutualité,neighbourhood,,418.234328764399
10565,1914632.4,4221341.5,1822915466,Constantine,neighbourhood,,314.131724306054
10566,1914993.5,4225135.5,3883913692,Mutualité,neighbourhood,,347.179280596343
10567,1915069.4,4222520,1822915468,La Bruyère,neighbourhood,,365.03492353479
10568,1914269.5,4224314.5,443945403,Championnet,neighbourhood,,379.182141541266
10569,1914964,4220586,663459441,Les Granges,locality,,565.231794498206
10570,1912686.9,4223035.5,3391272616,Les Îles-Sud,neighbourhood,,598.388185054163
10571,1912750.2,4225702.5,3363866164,Martyrs,neighbourhood,,52.5871025802683
10572,1913365.4,4222476,2140400356,Rondeau,neighbourhood,,659.595438736043
10573,1912921,4225105.5,3363841337,Arago,neighbourhood,,370.090668532424
10574,1913956.2,4221994.5,3840890815,Clos d'Or,neighbourhood,,516.438173594088
10575,1913331.9,4224509,2126097950,L'Estacade,neighbourhood,,332.375148519954
10576,1914949.1,4223646,3883913693,Préfecture,neighbourhood,,933.844864140273
10577,1914819.6,4224304,3883913693,Préfecture,neighbourhood,,264.853125385869
10578,1913188.2,4224809,3363841337,Arago,neighbourhood,,572.086903273895
10579,1914655.8,4222118.5,1822915468,La Bruyère,neighbourhood,,227.080898971471
10580,1913101.8,4223541,919369579,L'Aigle,neighbourhood,,610.129878691994
10581,1914198.1,4222283,3840890815,Clos d'Or,neighbourhood,,170.579139612012
