id,join_Station,distance
571,Grenoble les Frenes,804.465653661976
572,Grenoble Grands Boulevards,1232.81378668194
573,Grenoble les Frenes,882.524087805807
574,Grenoble Grands Boulevards,709.095224639408
575,Grenoble les Frenes,176.263997492008
576,Grenoble les Frenes,526.45242687894
577,Saint-Martin d'Heres,1496.19755479698
578,Grenoble Grands Boulevards,357.988120936636
579,Grenoble Grands Boulevards,370.116914466328
580,Grenoble Grands Boulevards,210.685237765468
581,Saint-Martin d'Heres,1462.87235413892
582,Grenoble Grands Boulevards,2062.1718981313
583,Grenoble les Frenes,637.008490299872
584,Grenoble Grands Boulevards,1789.87459875527
585,Grenoble Grands Boulevards,1394.50147787077
586,Grenoble les Frenes,873.032160207336
587,Grenoble Grands Boulevards,536.748759391696
588,Grenoble Grands Boulevards,1167.72340086947
589,Grenoble Rocade Sud,815.901012779838
590,Saint-Martin d'Heres,2093.888576631
591,Grenoble Grands Boulevards,204.17079973186
592,Saint-Martin d'Heres,1420.2499320489
593,Grenoble Rocade Sud,728.991923682599
594,Grenoble les Frenes,311.693552683078
595,Grenoble Grands Boulevards,764.402433104958
596,Grenoble Grands Boulevards,531.959010947096
597,Grenoble les Frenes,1001.49358566294
598,Grenoble Grands Boulevards,1450.5515494818
599,Saint-Martin d'Heres,1393.37532009612
600,Grenoble les Frenes,851.747532285335
601,Grenoble les Frenes,898.540409065681
602,Grenoble Grands Boulevards,1242.30236060635
603,Grenoble les Frenes,742.025067496579
604,Grenoble Grands Boulevards,1224.164952772
605,Grenoble les Frenes,1296.82780340468
606,Grenoble les Frenes,1054.22163218467
607,Grenoble Grands Boulevards,1854.14794328986
608,Grenoble Rocade Sud,1292.48586296584
609,Saint-Martin d'Heres,869.003870759778
610,Grenoble Grands Boulevards,1027.36959094585
611,Grenoble Grands Boulevards,1441.59452300179
612,Grenoble Grands Boulevards,821.201379435962
613,Saint-Martin d'Heres,1538.95572061506
614,Grenoble Grands Boulevards,440.690052328211
615,Grenoble les Frenes,637.304994092193
616,Grenoble Grands Boulevards,1025.90281008116
617,Grenoble Grands Boulevards,1185.20428123191
618,Grenoble les Frenes,856.567930624083
619,Grenoble Grands Boulevards,836.741345653576
620,Saint-Martin d'Heres,1311.61103745166
621,Grenoble Grands Boulevards,224.112358080088
622,Grenoble Rocade Sud,944.602227956575
623,Grenoble les Frenes,238.361723443307
624,Grenoble les Frenes,1179.57809252771
