id,distance
429,4636505.74805185
430,4636088.85587861
431,4637110.2978952
432,4635427.60975779
433,4635249.09512487
434,4637687.60051562
435,4638386.59416723
436,4638588.25553225
437,4638959.80388284
438,4637578.24333286
439,4638468.37325185
440,4634760.2921293
441,4639444.97768608
442,4636561.94308825
443,4636773.01837841
444,4635282.24326702
445,4636860.45474126
446,4636239.63102231
447,4639401.57291485
448,4635385.4620145
449,4635894.74422015
450,4639120.64873755
451,4635408.49326381
452,4638030.50667555
453,4638989.01391909
454,4636899.80520186
455,4636767.80257642
456,4637607.90394446
457,4635258.82651868
458,4637957.86372593
459,4638674.77551208
460,4636361.04386692
461,4638110.43177432
462,4635699.08938711
463,4636307.38383687
464,4634699.16334983
465,4636444.60406081
466,4636096.19865142
467,4639076.15725813
468,4635435.8901945
469,4636196.92125964
470,4636882.94289593
471,4637416.98016182
472,4638566.26613089
473,4637753.55601525
474,4636962.67099148
475,4639139.21249994
476,4635462.5853165
477,4638753.55496659
478,4635686.87955105
479,4635408.36828005
480,4637771.45152591
481,4634925.46660039
482,4637009.95349026
483,4636113.22180817
484,4634807.07423192
485,4636208.66910621
486,4638489.09478192
487,4636408.92045106
488,4636163.76942442
489,4636540.69592742
490,4636789.76305037
491,4635175.52300121
492,4635369.72253
493,4636614.68182474
494,4635405.52063337
495,4635246.76220163
496,4636577.97476983
497,4635672.50566136
498,4636641.87281275
499,4635169.20674449
500,4635558.46533378
501,4635715.37696181
502,4635019.6393093
503,4635665.45272736
504,4635205.40390956
505,4639462.43910341
506,4637895.27081082
507,4638453.20658413
508,4635842.42430322
509,4637993.46316634
510,4636533.68825391
511,4638455.16144591
512,4636861.90520473
513,4634619.52813648
514,4636625.54495144
515,4635444.7097664
516,4636194.95674326
517,4636233.40213014
518,4637914.48442378
519,4636185.82566293
520,4635557.78573865
521,4637997.84407533
522,4635144.46703182
523,4638848.74218844
524,4636996.8728187
525,4637874.98866644
526,4638357.29942651
527,4638795.563196
528,4635895.19420518
529,4637688.58208027
530,4636522.7072513
531,4636421.21357932
532,4637050.81748569
533,4634535.15595107
534,4635360.6837356
535,4634629.15718256
536,4637032.89778723
537,4634820.11349313
538,4638605.89552684
539,4636768.81595709
540,4638908.34687177
541,4635301.19657924
542,4635139.88004497
543,4637610.14433586
544,4638593.1494903
545,4635878.67874133
546,4636352.41420277
547,4637570.81395649
548,4638439.90064057
549,4636574.04074534
550,4638867.24281368
551,4635408.1187496
552,4635444.39641587
553,4638351.79916234
554,4638258.92779592
555,4637836.88324651
556,4638507.32824445
557,4638326.12083501
558,4635525.62219722
559,4634777.09162693
560,4638378.20400026
561,4635143.96335796
562,4636301.31818811
563,4636196.59248133
564,4637100.78726317
